wv	R2	R1	R0
350	0	0	0
350.44	0	0	0
350.88	0	0	0
351.32	0	0	0
351.75	0	0	0
352.19	0	0	0
352.63	0	0	0
353.07	0	0	0
353.51	0	0	0
353.95	0	0	0
354.38	0	0	0
354.82	0	0	0
355.26	0	0	0
355.7	0	0	0
356.13	0	0	0
356.57	0	0	0
357.01	0	0	0
357.45	0	0	0
357.89	0	0	0
358.32	0	0	0
358.76	0	0	0
359.2	0	0	0
359.64	0	0	0
360.07	0	0	0
360.51	0	0	0
360.95	0	0	0
361.38	0	0	0
361.82	0	0	0
362.26	0	0	0
362.69	0	0	0
363.13	0	0	0
363.57	0	0	0
364	0	0	0
364.44	0	0	0
364.88	0	0	0
365.31	0	0	0
365.75	0	0	0
366.19	0	0	0
366.62	0	0	0
367.06	0	0	0
367.5	0	0	0
367.93	0	0	0
368.37	0	0	0
368.8	0	0	0
369.24	0	0	0
369.67	0	0	0
370.11	0	0	0
370.55	0	0	0
370.98	0	0	0
371.42	0	0	0
371.85	0	0	0
372.29	0	0	0
372.72	0	0	0
373.16	0	0	0
373.59	0	0	0
374.03	0	0	0
374.46	0	0	0
374.9	0	0	0
375.33	0	0	0
375.77	0	0	0
376.2	0	0	0
376.64	0	0	0
377.07	0	0	0
377.51	0	0	0
377.94	0	0	0
378.38	0	0	0
378.81	0	0	0
379.24	0	0	0
379.68	0	0	0
380.11	0	0	0
380.55	0	0	0
380.98	0	0	0
381.42	0	0	0
381.85	0	0	0
382.28	0	0	0
382.72	0	0	0
383.15	0	0	0
383.58	0	0	0
384.02	0	0	0
384.45	0	0	0
384.88	0	0	0
385.32	0	0	0
385.75	0	0	0
386.18	0	0	0
386.62	0	0	0
387.05	0	0	0
387.48	0	0	0
387.92	0	0	0
388.35	0	0	0
388.78	0	0	0
389.22	0	0	0
389.65	0	0	0
390.08	0	0	0
390.51	0	0	0
390.95	0	0	0
391.38	0	0	0
391.81	0	0	0
392.24	0	0	0
392.67	0	0	0
393.11	0	0	0
393.54	0	0	0
393.97	0	0	0
394.4	0	0	0
394.83	0	0	0
395.27	0	0	0
395.7	0	0	0
396.13	0	0	0
396.56	0	0	0
396.99	0	0	0
397.42	0	0	0
397.86	0	0	0
398.29	0	0	0
398.72	0	0	0
399.15	0	0	0
399.58	0	0	0
400.01	0	0	0
400.44	0	0	0
400.87	0	0	0
401.31	0	0	0
401.74	0	0	0
402.17	0	0	0
402.6	0	0	0
403.03	0	0	0
403.46	0	0	0
403.89	0	0	0
404.32	0	0	0
404.75	0	0	0
405.18	0	0	0
405.61	0	0	0
406.04	0	0	0
406.47	0	0	0
406.9	0	0	0
407.33	0	0	0
407.76	0	0	0
408.19	0	0	0
408.62	0	0	0
409.05	0	0	0
409.48	0	0	0
409.91	0	0	0
410.34	0	0	0
410.77	0	0	0
411.2	0	0	0
411.63	0	0	0
412.05	0	0	0
412.48	0	0	0
412.91	0	0	0
413.34	0	0	0
413.77	0	0	0
414.2	0	0	0
414.63	0	0	0
415.06	0	0	0
415.49	0	0	0
415.91	0	0	0
416.34	0	0	0
416.77	0	0	0
417.2	0	0	0
417.63	0	0	0
418.06	0	0	0
418.48	0	0	0
418.91	0	0	0
419.34	35.48387097	0	0
419.77	0	0	0
420.2	0	0	0
420.62	0	0	0
421.05	0	0	0
421.48	0	0	0
421.91	0	0	0
422.34	4.895104895	0	0
422.76	0	0	0
423.19	0	0	0
423.62	0	9.505703422	0
424.04	0.5649717514	0	0
424.47	2.283105023	0	0
424.9	0	2.265372168	0
425.33	0	14.17004049	0
425.75	0	0.3039513678	0
426.18	23.44497608	18.66028708	0
426.61	0	2.608695652	0
427.03	0	3.501945525	0
427.46	11.74089069	35.22267206	0
427.89	0	0	0
428.31	10.65292096	0	0
428.74	11.49825784	10.10452962	0
429.17	19.89100817	21.52588556	8.446866485
429.59	0	7.532467532	0
430.02	0.2898550725	31.01449275	0
430.45	16.18037135	5.570291777	1.856763926
430.87	0	18.49056604	0
431.3	25.23961661	24.60063898	0
431.72	13.62318841	38.55072464	0
432.15	7.81671159	11.05121294	0
432.58	0	12.03931204	7.616707617
433	15.97051597	20.88452088	8.108108108
433.43	18.23899371	11.94968553	0
433.85	21.93158954	21.93158954	0
434.28	18.85441527	16.9451074	0
434.7	17.77188329	22.01591512	0
435.13	29.35064935	38.7012987	2.337662338
435.56	31.12947658	34.9862259	5.785123967
435.98	16.74958541	31.34328358	0
436.41	22.77227723	35.84158416	0
436.83	14.62829736	23.74100719	13.18944844
437.26	19.15789474	45.26315789	11.15789474
437.68	38.3908046	42.52873563	4.827586207
438.11	39.00990099	41.38613861	4.554455446
438.53	15.02782931	32.09647495	20.59369202
438.96	28.87189293	15.86998088	0.5736137667
439.38	25.16129032	39.35483871	17.84946237
439.81	26.03231598	24.23698384	31.77737882
