wv	R0	R1	R2
363.13	0.04724912	4.96978453	8.92824856
363.57	0.04450436	5.92685554	10.7130929
364	0.58688103	5.58269419	10.05656347
364.44	0.5588006	5.31557963	8.78836998
364.88	0.5635946	5.94169266	8.89683994
365.31	0.54264529	4.50433537	8.53429217
365.75	0.51148609	4.58658727	8.04424522
366.19	0.48415657	4.34151858	9.17709087
366.62	2.45569728	4.3049431	8.17771295
367.06	2.43950095	4.22027983	7.54220174
367.5	2.30918362	4.07215325	7.9381026
367.93	2.17205661	5.04246664	7.46671166
368.37	3.52922989	3.67190793	9.80849982
368.8	5.04007595	4.12016745	11.28522516
369.24	4.83813634	4.97575287	12.00698758
369.67	5.44984978	5.94072509	12.8824432
370.11	6.8212838	6.81056088	13.41324485
370.55	6.94273	7.81030224	13.39034819
370.98	8.15855511	9.27855206	14.26626236
371.42	9.76120956	10.34582484	15.20400068
371.85	12.213074	11.1941429	15.59981475
372.29	13.75827461	11.43070995	15.45328578
372.72	15.10560541	11.99480975	16.78399597
373.16	17.21243473	12.2712485	16.9256407
373.59	18.58841663	12.94295898	15.79452691
374.03	18.41693976	13.66008915	16.66062342
374.46	20.22589341	14.36031357	17.5350585
374.9	22.76566889	14.98479624	18.64742966
375.33	24.193114	16.14527093	19.99713854
375.77	24.72092793	17.69707268	18.87895258
376.2	25.456084	19.32977563	18.19745412
376.64	26.46292472	19.39704086	18.341884
377.07	27.68994251	20.24252409	18.69077813
377.51	27.77599327	20.3821218	18.30822568
377.94	30.14485847	21.35269998	18.00222332
378.38	30.32668528	21.84302901	17.35908479
378.81	30.14017384	22.78306297	17.76799925
379.24	30.43853626	23.95622577	17.89528218
379.68	30.9584924	25.86459656	18.98661969
380.11	31.9576088	27.58898228	19.14583618
380.55	32.66852679	29.47733482	20.28418399
380.98	32.79340944	30.91432117	21.93654643
381.42	33.65670718	32.30848155	22.90838079
381.85	33.68769798	32.65657517	23.78440582
382.28	32.82341752	33.21583135	24.14103852
382.72	33.56496183	33.58400508	23.98727272
383.15	33.69101096	33.8235371	25.22002588
383.58	33.2141373	34.21434555	26.96557819
384.02	33.48203099	35.61214177	27.48294147
384.45	32.64707863	35.98645649	27.87066908
384.88	32.05087875	36.3383052	28.24940328
385.32	30.9679211	36.89695151	28.78519092
385.75	30.52828531	37.26454831	29.91204765
386.18	29.84559856	37.14041896	30.10083595
386.62	28.97315491	37.28523959	30.82862264
387.05	27.60260519	36.87415072	30.58834043
387.48	26.1874039	37.35166719	30.62989118
387.92	24.92708255	36.95463265	31.21934933
388.35	24.36736939	36.48552101	31.08049175
388.78	23.13540132	36.20838345	31.07129039
389.22	21.87189877	36.5829783	30.94972976
389.65	21.00701891	37.09262557	30.95204292
390.08	19.52160234	37.38433493	31.70260337
390.51	18.41352095	37.49027958	32.03409965
390.95	18.15664097	37.05129223	32.23163686
391.38	16.78435161	36.69161728	32.73983367
391.81	16.19734528	36.58115227	33.33952159
392.24	15.81462973	36.70626185	34.06372666
392.67	15.2591852	36.13715708	34.5947057
393.11	15.06603531	35.64386697	34.33855022
393.54	14.99983658	35.49757153	34.83938752
393.97	14.74693469	35.19523186	35.15709532
394.4	15.23571182	34.92945547	36.23552027
394.83	15.66252494	34.15442272	36.75783701
395.27	16.33495499	33.97808185	36.92563274
395.7	16.87429243	33.81329845	37.3224996
396.13	17.88399655	33.64685422	38.02512769
396.56	18.56983608	33.22410659	38.36594549
396.99	19.19149335	32.72525544	38.99763339
397.42	20.0042284	32.17925505	38.96602029
397.86	21.18796443	31.87543754	39.30031261
398.29	21.74273172	31.97859569	39.33212937
398.72	23.49639564	31.8501904	39.82508855
399.15	24.96362241	31.46324323	40.31802918
399.58	26.21221263	31.3054398	40.89635387
400.01	27.09423992	31.25372213	41.40486319
400.44	28.30831191	31.37946994	41.86631471
400.87	29.80497761	31.6277884	42.45895649
401.31	31.31059839	31.58853141	42.7654232
401.74	32.69236625	31.60114951	42.93616976
402.17	34.00253697	31.74784088	43.23844454
402.6	34.93559591	31.86696332	43.63334694
403.03	35.99883435	32.77250722	44.36703363
403.46	37.0837321	33.17244182	44.81708108
403.89	38.60839743	33.64011369	45.44538279
404.32	40.07721721	34.21051013	46.00676811
404.75	41.5663538	35.05979872	46.85752065
405.18	42.86547923	36.09693029	47.60967508
405.61	44.14610755	36.89195018	48.42237643
406.04	44.86719021	37.53821859	48.80904001
406.47	45.72853095	38.50663391	49.17518076
406.9	46.94490531	39.82544692	49.63446679
407.33	48.28702768	41.27355759	50.49601414
407.76	49.17586485	42.17701826	51.10740344
408.19	49.68096347	43.10727822	51.27950656
408.62	50.55569966	44.41220459	52.0725044
409.05	51.02662166	45.69031075	52.59620609
409.48	52.00651858	47.03367145	53.44155482
409.91	52.87190091	48.7110978	54.16305314
410.34	53.45353543	49.48375069	54.63671022
410.77	54.11914625	50.61113352	55.15514976
411.2	54.31967777	52.07395489	55.83813067
411.63	54.58742531	53.29511068	56.40615638
412.05	54.94074061	54.57121097	57.31133228
412.48	55.10457509	55.68457896	57.84801978
412.91	55.30336366	56.538901	58.24043273
413.34	55.40663537	57.35928604	58.82542753
413.77	55.63371445	58.58394657	59.56290164
414.2	55.66397581	59.31842855	60.10899006
414.63	55.43688743	59.87845078	60.13244767
415.06	55.42351175	60.90721649	60.61730058
415.49	55.48186499	62.00087451	61.2285897
415.91	55.39554824	62.76705308	61.55836455
416.34	55.40379204	63.81515555	61.96039386
416.77	55.09561596	64.56637721	62.34368654
417.2	54.73681948	65.26215667	62.86644117
417.63	54.38842064	66.09556905	63.56144923
418.06	53.84980216	66.57195553	63.99481468
418.48	53.59217011	67.10985494	64.43431488
418.91	53.29774222	67.88963321	64.96780365
419.34	52.82236721	68.35186078	64.84016559
419.77	52.46719301	69.06547046	65.24958147
420.2	52.21439753	69.97130658	65.94920264
420.62	52.18602947	70.8743694	66.51655884
421.05	51.72922163	71.1458902	66.88060615
421.48	51.08995268	71.53250827	67.4296216
421.91	50.58895941	72.15581926	68.29416283
422.34	50.19641252	72.61142135	68.76524215
422.76	49.88617879	72.98693271	69.29117
423.19	49.60229672	73.47132813	69.91923771
423.62	49.18635159	73.73824365	70.73462831
424.04	48.72853699	73.85729161	71.17548219
424.47	48.48372576	73.96596037	71.69951485
424.9	48.05600357	74.08681227	71.96970494
425.33	48.07671789	74.63469117	72.56378794
425.75	47.95375789	74.83584472	73.1583756
426.18	47.99136607	74.79820455	73.68916886
426.61	48.03522517	74.87769169	74.40329107
427.03	48.13297628	74.69258828	74.89885029
427.46	47.98235268	74.506152	75.21163613
427.89	47.99463864	74.77473537	75.79494645
428.31	48.10639236	74.74336962	76.27255721
428.74	48.55534415	74.64249248	76.81997542
429.17	49.18399072	74.49575264	77.10614984
429.59	49.72105081	74.68219701	77.78578777
430.02	50.20198986	74.76574525	78.66153101
430.45	50.51478789	74.76325527	79.21828686
430.87	51.07682496	74.99108683	79.79662393
431.3	51.70718093	75.01964334	80.52673749
431.72	52.37552505	75.18002809	81.09777944
432.15	53.1272266	75.22766784	81.61965813
432.58	53.74849355	75.22599782	82.22257098
433	54.49369715	75.3242169	82.58972989
433.43	55.30887925	75.54637195	83.17079188
433.85	56.03937574	75.5634851	83.84643248
434.28	56.67079185	75.69447603	84.53556626
434.7	57.51621168	75.82520053	84.96489035
435.13	58.16984259	75.55182033	85.31242222
435.56	58.87600635	75.57496737	85.52829765
435.98	59.55651395	75.57189568	85.63521118
436.41	60.21581955	75.61451952	86.11716875
436.83	61.04693801	75.51816268	86.39574816
437.26	61.67951281	75.40141231	86.67742992
437.68	62.48028909	75.25052856	86.81675722
438.11	63.22016595	74.92841877	87.05632136
438.53	63.98816425	74.69907576	87.24255708
438.96	64.87901906	74.49208382	87.35151575
439.38	65.73381483	74.41112533	87.82085635
439.81	66.48440104	74.42128942	88.34470679
440.23	67.06577693	74.18361757	88.67918837
