wv	R0	R1	R2
363.13	4.635761589	5.221183396	20.64125871
363.57	0	5.956145899	20.76744676
364	8.196721311	15.13446909	59.19854281
364.44	113.7931034	31.83457291	125.6479603
364.88	57.2519084	8.54413012	31.65070099
365.31	0.826446281	9.824177605	36.96726625
365.75	0	4.700276205	20.44192851
366.19	0	6.569391889	31.72419065
366.62	31.29770992	10.60220526	42.34645512
367.06	57.3964497	9.160962215	33.16316665
367.5	32.64248705	8.741406753	30.73250025
367.93	0	8.294802637	27.47095927
368.37	0	13.35031219	34.64234856
368.8	19.02439024	12.37446198	30.8066316
369.24	10.67193676	11.64134956	26.51192229
369.67	15.35836177	10.06602869	25.75063017
370.11	11.37724551	18.90826191	49.38652108
370.55	0	12.06636501	26.18149824
370.98	24.46351931	18.93461247	38.90361581
371.42	46.36871508	27.63628729	53.33278563
371.85	20.70175439	19.77984176	35.30271758
372.29	50.44776119	17.04711735	30.71651546
372.72	13.76146789	19.06318083	31.99266455
373.16	16.4983165	21.5664268	36.95726326
373.59	22.44897959	19.04333162	34.09697212
374.03	11.64179104	18.70549215	36.86225734
374.46	28.25396825	20.35999585	42.10758377
374.9	42.67912773	20.89568953	43.00032578
375.33	28.15533981	20.57025615	45.56919855
375.77	39.60784314	22.74766116	57.07740613
376.2	40.41297935	16.41216959	45.60944338
376.64	28.17955112	13.81350545	39.78004336
377.07	41.81818182	16.36108989	41.98497581
377.51	10.91445428	19.23188154	49.46545973
377.94	4.132231405	16.85752354	48.15309962
378.38	8.788598575	14.32164315	42.4506699
378.81	32.18673219	15.37633891	45.33611151
379.24	26.91552063	11.57273649	36.8931135
379.68	15.09846827	13.8727993	42.37818395
380.11	16.03960396	12.11738821	39.93561121
380.55	28.76190476	12.24712107	39.33239963
380.98	35.13513514	14.96405908	43.28706535
381.42	12.61770245	15.22438856	40.65734894
381.85	20.82616179	15.09539559	38.0162105
382.28	14.6025878	16.95148176	42.11065202
382.72	33.19755601	19.5928677	48.79497624
383.15	17.64705882	18.21123577	43.81327694
383.58	19.72027972	15.05439005	35.9305727
384.02	14.20204978	16.21426999	39.2288443
384.45	18.48341232	17.6498983	43.87629196
384.88	34.16149068	14.28469939	35.55697641
385.32	24.89905787	15.839557	40.17342693
385.75	29.57746479	15.64422184	39.9971128
386.18	33.07392996	16.63127421	41.70269491
386.62	27.5261324	15.83221364	38.88072844
387.05	37.78857837	17.3077534	42.86982108
387.48	31.45434047	16.86027662	40.96480757
387.92	29.29542645	19.32406667	46.7019317
388.35	32.07036536	21.62987432	52.88346732
388.78	31.19383825	20.97019809	51.56288018
389.22	35.11008111	19.08053681	48.0587175
389.65	30.68297655	17.49332081	43.65210236
390.08	40.11173184	19.70369153	49.25238252
390.51	40.09569378	17.33667949	43.45701598
390.95	30.06993007	18.96387926	46.24052418
391.38	38.12677389	18.6393542	45.03512222
391.81	36.13613614	20.26127435	48.95009388
392.24	38.26366559	22.50015762	53.97148141
392.67	40.73377234	20.38640793	48.43933497
393.11	36.7786391	19.26373478	45.29352654
393.54	36.94581281	22.42908658	52.88724685
393.97	32.4452902	22.25937949	52.35832043
394.4	29.78524743	22.49974064	52.36462777
394.83	32.46301131	21.65494861	50.04707134
395.27	45.98792062	22.11662635	50.5245958
395.7	40.55608821	24.82704491	57.27179015
396.13	39.48075201	23.95026945	54.48695444
396.56	40.05212858	23.99519031	54.02023248
396.99	36.10431948	23.16812354	52.05253794
397.42	40.79874706	23.39979322	50.96132684
397.86	38.43674456	25.26359725	53.82874342
398.29	36.32842758	24.77875994	52.50337935
398.72	43.30839568	27.92243248	57.20652074
399.15	38.36948392	25.97330381	52.51184243
399.58	37.98677443	26.20562063	52.40223692
400.01	32.67744202	25.83318406	50.64153795
400.44	35.08150248	26.82297819	51.72072373
400.87	40.63989108	26.58704734	50.19031665
401.31	37.40765615	26.93225264	49.93317004
401.74	40.51553206	27.0288221	49.78368303
402.17	36.7983368	29.16094828	52.84413373
402.6	39.90351482	29.76029603	53.09894461
403.03	35.41799617	28.29758791	49.6687188
403.46	29.1386683	27.61158424	47.94908189
