wv	R0	R1	R2
362.69	0	0	0
363.13	0	0	0
363.57	0	0	0
364	0	0	0
364.44	0	0	0
364.88	0	0	0
365.31	0	0	0
365.75	0	0	0
366.19	0	0	0
366.62	0	0	0
367.06	0	0	0
367.5	0	0	0
367.93	0	0	0
368.37	0	0	0
368.8	0	0	0
369.24	0	0	0
369.67	0	0	0
370.11	0	0	0
370.55	0	0	0.1554519209
370.98	0	0	0.1490312966
371.42	0	0	0.1481481481
371.85	0	0	0.1435897436
372.29	0	0	0.1394144593
372.72	0	0	0.1382033564
373.16	0	0	0.133358735
373.59	0	0	0.1267886252
374.03	0	0	0.1223562314
374.46	0	0	0.1210025929
374.9	0	0	0.118583771
375.33	0	0	0.1153022566
375.77	0	0	0.1142111274
376.2	0	0	0.1113762928
376.64	0	0	0.1083759096
377.07	0	0	0.1055329414
377.51	0	0	0.1052156922
377.94	0	0	0
378.38	0	0	0
378.81	0	0	0
379.24	0	0	0
379.68	0	0	0
380.11	0	0	0
380.55	0	0	0
380.98	0	0	0
381.42	0	0	0
381.85	0	0	0
382.28	0	0	0.01091583888
382.72	0	0	0.7819930255
383.15	0	0	0.7493670886
383.58	0	0	0.7282747761
384.02	0	0	0.7180469124
384.45	0	0	0.8265239034
384.88	0	0	1.136673638
385.32	0	0	1.109434632
385.75	0.008676789588	0	1.422993492
386.18	0.2884044448	0	1.789804055
386.62	0.2841621396	0	1.763476807
387.05	0.9326088719	0.5757846079	2.595085557
387.48	0.9180170831	0.5667757643	2.817913307
387.92	0.9052979611	0.558923089	2.99141935
388.35	0.8800795898	0.5433534859	2.908089079
388.78	0.8683832968	0.5361322963	2.869440459
389.22	1.160282633	0.5280773522	2.826329491
389.65	1.155346236	0.5224814188	2.789020531
390.08	1.443464314	0.5248961143	2.230808486
390.51	1.432602561	0.8031256783	2.626438029
390.95	1.418236516	0.9311653893	2.793496168
391.38	1.812284042	0.9237712432	3.257880262
391.81	2.717803684	0.9243291716	3.73870456
392.24	2.67863213	0.9110068665	4.051940989
392.67	3.381835094	0.8903062919	5.056142449
393.11	3.443356462	1.108877505	5.557356851
393.54	3.305521941	1.089102605	5.623845615
393.97	3.578354708	1.069752893	5.91804817
394.4	3.043451311	0.6198475175	5.764581913
394.83	2.986799684	0.6083095079	6.375083643
395.27	3.02147148	0.7315767561	6.935109737
395.7	3.280522999	0.824547971	7.450379881
396.13	3.362123935	0.9216856994	8.138658628
396.56	3.11199772	0.9062410943	8.463949843
396.99	3.138133931	0.891005884	8.954889325
397.42	3.32913541	0.9582215408	9.335815583
397.86	3.752475778	0.728012419	9.31962957
398.29	4.181331092	0.7669275621	10.31149866
398.72	3.969763974	1.100426801	10.44377025
399.15	3.847506153	1.577176151	10.67356472
399.58	4.522811344	1.652281134	11.23057953
400.01	4.771652776	1.959350782	10.98113759
400.44	4.615904592	1.979624354	11.53493313
400.87	4.659787932	2.296609767	11.80638106
401.31	4.345787821	2.287750223	12.26852937
401.74	4.463169591	2.523264966	12.74596046
402.17	4.614113218	2.938340756	13.01593132
402.6	4.741242938	2.811299435	13.18418079
403.03	4.625482283	2.953567786	13.61922923
403.46	4.430352256	2.875385484	14.13803588
403.89	4.624673489	3.198732497	14.89744358
404.32	4.669063227	3.637132586	15.64389934
404.75	4.540685719	3.995131982	16.01829703
405.18	4.434370492	4.405522357	16.34865032
405.61	4.355407762	4.619003204	16.09554321
406.04	4.460668298	4.292189819	16.43467448
406.47	3.986710963	4.034743626	16.8714726
406.9	3.486943773	3.914886872	17.06621231
407.33	2.801867912	3.884942903	17.78048111
407.76	3.077102169	3.72511738	17.47312871
408.19	3.363820749	3.394435728	17.58447821
408.62	3.37921931	3.805393174	17.74467283
409.05	3.520474338	3.527885863	17.73207337
409.48	3.939559439	3.120334972	17.70617149
409.91	4.129115651	3.062726653	17.94190514
410.34	4.201172916	2.932290741	17.94561934
410.77	4.14869367	2.844117131	17.99403823
411.2	4.120982987	2.711806152	18.21962537
411.63	4.385164148	2.285559725	18.05118842
412.05	4.635849244	1.879487773	18.07021607
412.48	4.602043163	1.859212298	18.87133331
412.91	4.640966516	1.727777597	19.15819558
413.34	4.619330021	1.920179516	19.57685527
413.77	4.884867904	1.768604907	19.51119907
414.2	5.00046272	2.106919209	19.46818028
414.63	5.254560305	2.060078047	19.23042018
415.06	5.011086475	1.971914265	19.37324464
415.49	4.702358449	2.140343735	19.5160962
415.91	4.733507268	1.897990195	19.69379856
416.34	4.639539152	2.307062378	19.5436704
416.77	4.256916447	2.524676769	19.52175726
417.2	4.10628681	2.717435968	19.42473634
417.63	4.078085306	2.738334002	19.55074208
418.06	4.725341187	3.108154303	19.55612822
418.48	4.831807454	2.982597194	19.01340872
418.91	4.737418222	3.031845837	18.78929817
419.34	4.653323623	3.071243816	18.72127772
419.77	5.007272996	2.734153497	18.22193733
420.2	5.181133993	2.770854004	18.12307916
420.62	5.057367508	2.838682091	17.82787372
421.05	5.301413867	3.120823466	17.64402448
421.48	5.45010033	3.120603363	17.32822843
421.91	5.644703693	3.188905785	17.16561883
422.34	6.114486872	3.24895177	16.87706002
422.76	6.513191134	3.345561584	16.43784461
423.19	6.970849176	3.572425941	16.02758265
423.62	7.19790545	3.211503135	16.03640126
424.04	7.734749331	3.192217544	15.84078322
424.47	8.085556709	3.148340355	15.69692899
424.9	8.337186627	3.122172855	15.42590619
425.33	8.328887308	3.06874543	14.86158041
425.75	8.536750877	2.999398957	14.72167827
426.18	8.875221357	3.174210256	14.50006665
426.61	9.09498962	3.304718622	14.12968262
427.03	9.250729451	3.429798323	13.71735819
427.46	9.445995856	3.370867489	13.25105846
427.89	9.843364731	3.315416955	12.8306104
428.31	9.756903962	3.283623645	12.36013712
428.74	9.914228484	3.210011813	11.99945216
429.17	9.920802445	3.135817896	11.67024097
429.59	9.892148904	3.156011332	11.24732857
430.02	9.918205417	3.057909259	11.12634896
430.45	9.809549919	2.981729048	10.99321088
430.87	9.95441333	3.184713376	10.56117668
431.3	9.85445299	3.296257585	10.16957085
431.72	9.851361114	3.426226232	9.786802343
432.15	10.00438723	3.559704089	9.435560733
432.58	9.999551388	3.632258161	9.380467453
433	10.01547645	3.892696588	9.075097649
433.43	10.09155616	3.832549745	8.781531564
433.85	10.08353991	4.016507372	8.553168928
434.28	10.01998044	4.159050008	8.362028653
434.7	10.02587232	4.185721278	8.104328369
435.13	10.01391012	4.12483301	7.994876668
435.56	10.0413443	4.078485952	8.06282151
435.98	10.00444403	4.087156766	7.979045747
436.41	9.945976081	4.21970612	7.7213056
436.83	9.945091667	4.30224482	7.698960804
437.26	9.917516399	4.368383451	7.462492693
437.68	9.914219942	4.3841712	7.218642695
438.11	9.804471768	4.337844215	7.031618688
438.53	9.839950325	4.274327424	6.770747532
438.96	9.850341162	4.268606828	6.482703158
439.38	9.583369705	4.333403998	6.24134878
439.81	9.43913124	4.347504165	5.932004689
440.23	9.368244935	4.258515199	5.750888463
440.66	9.10805615	4.356342268	5.59928422
441.08	8.964241529	4.274921024	5.47607894
441.51	8.769628826	4.145751112	5.266546638
441.93	8.464075856	4.229082182	5.16782729
442.35	8.397519314	4.381059567	5.035229018
442.78	8.322799856	4.519151601	4.806744518
443.2	8.183503991	4.599117725	4.52540284
443.63	8.131687431	4.651083121	4.463806511
444.05	8.008376252	4.648819967	4.304714472
444.47	7.817666245	4.70629112	4.190717432
444.9	7.700007786	4.752583167	4.025181016
445.32	7.645833104	4.838869718	3.932615239
445.75	7.430093791	4.975596973	3.984189896
446.17	7.115699167	4.990413467	4.017678217
446.59	7.100114951	4.953643522	3.95668382
447.02	7.027763874	4.934024856	3.847751307
447.44	6.851143623	5.048043817	3.774644306
447.86	6.766331526	5.043954309	3.62478286
448.29	6.594773086	5.127642455	3.505857028
448.71	6.485608795	5.217652108	3.45740555
449.13	6.398067732	5.20581736	3.259160286
449.56	6.211757495	5.147351754	3.053271362
449.98	6.028601748	5.074536359	2.895548032
450.4	5.893541831	5.104666179	2.854168127
450.83	5.727845268	5.017461123	2.731098708
451.25	5.555060717	5.068139307	2.580089665
451.67	5.555610115	5.06064326	2.452246501
452.1	5.44825374	5.104153504	2.318302439
452.52	5.209224528	5.113095639	2.286906284
452.94	5.057376814	5.04208907	2.116397061
453.36	5.113028326	5.033477598	1.953727993
453.79	4.99769713	4.92438128	1.903392268
454.21	4.938306199	4.92896573	1.872764125
454.63	4.943789035	4.827203331	1.814480685
455.05	4.897155161	4.794539374	1.697741536
455.48	4.818019228	4.725417389	1.644136579
455.9	4.764049397	4.771255371	1.562795558
456.32	4.707085984	4.687513901	1.552422045
456.74	4.585586142	4.631450823	1.565573264
457.16	4.46413731	4.560366019	1.477548092
457.59	4.421777536	4.473686487	1.405867442
458.01	4.376264847	4.364310173	1.291958773
458.43	4.437592397	4.163885956	1.274762408
458.85	4.355300381	4.11162387	1.277632666
459.27	4.53227605	4.157270888	1.489282617
459.69	4.552721549	4.05752187	1.383115659
460.12	4.510260173	4.001102634	1.325593274
460.54	4.348104765	3.844952048	1.300345317
460.96	4.271784676	3.872567269	1.236465025
461.38	4.218358408	3.785826378	1.178142298
461.8	4.161950303	3.736900059	1.18505856
462.22	4.168283903	3.560964101	1.262585904
462.64	4.209980382	3.386174187	1.233454349
463.06	4.129192031	3.205332582	1.167799865
463.49	4.020841742	3.235607089	1.158771511
463.91	4.022544167	3.122222624	1.073015644
464.33	3.97373211	3.074342411	1.029301545
464.75	3.965005952	2.895743377	1.055174794
465.17	3.990912955	2.821583125	1.128911994
465.59	3.936650026	2.850060251	1.053537614
466.01	3.860512876	2.788790436	1.022760501
466.43	3.664080231	2.606297157	0.8810395731
466.85	3.678820048	2.510940668	0.914620144
467.27	3.691009245	2.367683536	0.8929549335
467.69	3.764316636	2.342002016	0.891165043
468.11	3.783790528	2.171702363	0.9108547686
468.53	3.784653754	2.062178648	0.9386383601
468.95	3.746362828	1.937606998	0.8481189544
469.37	3.754965428	1.923042564	0.7718374615
469.79	3.745605363	1.890059492	0.7405804138
470.21	3.829840964	1.811899883	0.741518736
470.63	3.994407266	1.68289424	0.6889436385
471.05	4.031163247	1.657348353	0.6782328267
471.47	4.154381621	1.525246108	0.7314013911
471.89	4.147769967	1.527901387	0.7327744707
472.31	4.172001651	1.495189368	0.6459468923
472.73	4.200476105	1.443161748	0.6982875573
473.15	4.296308197	1.361141933	0.6808220072
