wv	R0	R1	R2
363.13	0	0	0
363.57	0	0	0
364	0	0	0
364.44	0	0	0
364.88	0	0	0
365.31	0	0	0
365.75	0	0	0
366.19	0	0	0
366.62	0	0	0
367.06	0	0	0
367.5	0	0	0
367.93	0	0	0
368.37	0	0	0
368.8	0	0	0
369.24	0	0	0
369.67	0	0	0
370.11	0	0	0
370.55	0.7772596047	1.354652454	0
370.98	0.7451564829	1.532893336	0
371.42	0.7407407407	2.349206349	0
371.85	0.7179487179	2.276923077	0
372.29	0.6970722964	2.210714997	0
372.72	0.6910167818	2.191510365	0
373.16	0.666793675	2.114688512	0
373.59	0.6339431262	2.010505343	0
374.03	0.6117811571	1.940220241	0
374.46	0.6050129646	1.918755402	0
374.9	0.5929188548	1.880399797	0
375.33	0.5765112831	1.844836106	0
375.77	0.5710556371	1.827378039	0
376.2	0.5568814638	1.797931583	0
376.64	0.5418795479	1.749496826	0
377.07	0.5276647068	1.869440675	0
377.51	0.5260784608	1.863820833	0
377.94	0	0.9398776667	0
378.38	0	0.9557418027	0
378.81	0	0.370634355	0
379.24	0	0.3611612724	0
379.68	0	0.9320545725	0
380.11	0	0.886092205	0
380.55	0	0.8703220191	0
380.98	0	0.8548052265	0
381.42	0	0.8389460002	0
381.85	0	1.432306468	0
382.28	0	2.587053815	0
382.72	0	3.413293881	0
383.15	0	3.270886076	0
383.58	0	3.168979431	0
384.02	0	3.130684538	0
384.45	0	3.296703297	0.2911618296
384.88	0	3.600982086	0.2818950623
385.32	0	4.428863051	0.3905209905
385.75	0	4.728850325	0.3817787419
386.18	0	6.022563407	0.3732292815
386.62	0	6.67781028	0.3677392394
387.05	0.1865217744	7.598734896	0.6731003163
387.48	0.1836034166	7.807136585	0.6625688513
387.92	0.1810595922	8.722349051	0.6533889632
388.35	0.176015918	9.23700926	0.8112037958
388.78	0.1736766594	9.899569584	0.8004228649
389.22	0.1710673113	9.67645965	0.7883971737
389.65	0.1692545441	9.588637869	0.7800426816
390.08	0.1676751476	9.440839834	0.7727637238
390.51	0.1664134288	10.43339845	0.766948846
390.95	0.1647446458	11.20979873	1.497027434
391.38	0.408997955	11.91030252	1.565474931
391.81	0.4000827757	12.69917914	1.317513968
392.24	0.3943164049	12.93765722	1.298524713
392.67	0.3853564547	12.81642416	1.295594977
393.11	0.39556449	13.49458531	1.517411322
393.54	0.388510286	12.73167314	1.675052544
393.97	0.3816077573	12.54300907	1.645292462
394.4	0.2355420567	11.62214095	1.444244716
394.83	0.2615730884	11.60046232	1.417361153
395.27	0.2557544757	11.52084696	1.385832392
395.7	0.2532540197	11.46710643	1.236821957
396.13	0.2492609124	11.71526288	1.582516956
396.56	0.2450840695	11.71273867	1.55599886
396.99	0.4258896049	11.41496217	1.535444102
397.42	0.4161419263	11.47128073	1.74670098
397.86	0.4068304695	10.94695145	1.991328087
398.29	0.3992225666	10.9628618	1.722960551
398.72	0.7096210212	11.19452872	1.789479097
399.15	0.7684966598	10.86443317	1.747953187
399.58	1.163995068	10.89519112	2.106041924
400.01	1.701028415	11.27357801	1.998342838
400.44	1.791318623	10.82033702	1.791318623
400.87	1.978032428	10.96001141	1.626170891
401.31	2.01115747	11.04964606	1.814260935
401.74	1.986203065	11.31996852	1.87508681
402.17	1.946650751	12.04260594	2.047656214
402.6	2.273446328	12.58757062	2.065536723
403.03	2.501219566	12.9096634	2.137567076
403.46	2.60174608	12.37458194	1.963254137
403.89	2.997473558	12.52515737	2.299490429
404.32	3.332628463	12.46352294	2.304927046
404.75	3.764320786	12.35889043	2.345881069
405.18	3.717288275	12.18627653	2.45209149
405.61	3.65789367	11.99967557	2.656230991
406.04	3.229170845	11.60495808	3.124874644
406.47	3.166152984	11.68394508	3.76255854
