wv	R0
350	0
350.44	0
350.88	0
351.32	0
351.75	0
352.19	0
352.63	0
353.07	0
353.51	0
353.95	0
354.38	500
354.82	0
355.26	0
355.7	0
356.13	0
356.57	500
357.01	0
357.45	0
357.89	0
358.32	0
358.76	0
359.2	0
359.64	0
360.07	0
360.51	0
360.95	0
361.38	0
361.82	0
362.26	0
362.69	0
363.13	4.635761589
363.57	0
364	8.196721311
364.44	113.7931034
364.88	57.2519084
365.31	0.826446281
365.75	0
366.19	0
366.62	31.29770992
367.06	57.3964497
367.5	32.64248705
367.93	0
368.37	0
368.8	19.02439024
369.24	10.67193676
369.67	15.35836177
370.11	11.37724551
370.55	0
370.98	24.46351931
371.42	46.36871508
371.85	20.70175439
372.29	50.44776119
372.72	13.76146789
373.16	16.4983165
373.59	22.44897959
374.03	11.64179104
374.46	28.25396825
374.9	42.67912773
375.33	28.15533981
375.77	39.60784314
376.2	40.41297935
376.64	28.17955112
377.07	41.81818182
377.51	10.91445428
377.94	4.132231405
378.38	8.788598575
378.81	32.18673219
379.24	26.91552063
379.68	15.09846827
380.11	16.03960396
380.55	28.76190476
380.98	35.13513514
381.42	12.61770245
381.85	20.82616179
382.28	14.6025878
382.72	33.19755601
383.15	17.64705882
383.58	19.72027972
384.02	14.20204978
384.45	18.48341232
384.88	34.16149068
385.32	24.89905787
385.75	29.57746479
386.18	33.07392996
386.62	27.5261324
387.05	37.78857837
387.48	31.45434047
387.92	29.29542645
388.35	32.07036536
388.78	31.19383825
389.22	35.11008111
389.65	30.68297655
390.08	40.11173184
390.51	40.09569378
390.95	30.06993007
391.38	38.12677389
391.81	36.13613614
392.24	38.26366559
392.67	40.73377234
393.11	36.7786391
393.54	36.94581281
393.97	32.4452902
394.4	29.78524743
394.83	32.46301131
395.27	45.98792062
395.7	40.55608821
396.13	39.48075201
396.56	40.05212858
396.99	36.10431948
397.42	40.79874706
397.86	38.43674456
398.29	36.32842758
398.72	43.30839568
399.15	38.36948392
399.58	37.98677443
400.01	32.67744202
400.44	35.08150248
400.87	40.63989108
401.31	37.40765615
401.74	40.51553206
402.17	36.7983368
402.6	39.90351482
403.03	35.41799617
403.46	29.1386683
403.89	30.76452599
404.32	30.93694755
404.75	39.22441195
405.18	36.73824724
405.61	35.1416516
406.04	28.7639133
406.47	27.59977515
406.9	37.2346529
407.33	33.48973607
407.76	34.43022547
408.19	27.21126761
408.62	30.63320023
409.05	28.62658577
409.48	35.00272183
409.91	30.64949007
410.34	39.11182451
410.77	28.99224806
411.2	35.15182707
411.63	36.25935162
412.05	32.78924628
412.48	31.18072289
412.91	28.57826711
413.34	36.03120429
413.77	37.99698037
414.2	31.49274684
414.63	37.60231103
415.06	31.86297513
415.49	34.6568839
415.91	36.10251878
416.34	34.17063664
416.77	38.64507882
417.2	35.19832985
417.63	35.58052434
418.06	36.62620343
418.48	35.79845591
418.91	35.05591978
419.34	35.26294333
419.77	34.63490824
420.2	35.44448684
420.62	36.80733945
421.05	38.81508079
421.48	39.13043478
421.91	42.08728653
422.34	38.69068237
422.76	40.87825777
423.19	40.5718422
423.62	37.47000343
424.04	39.95485327
424.47	40.27179317
424.9	38.9785832
425.33	37.77080063
425.75	43.35148991
426.18	42.33782513
426.61	44.45503654
427.03	38.24830433
427.46	41.23862636
427.89	43.89885328
428.31	39.60715333
428.74	39.6477043
429.17	38.8170564
429.59	37.32793522
430.02	40.13947001
430.45	36.3516018
430.87	37.21613679
431.3	39.74873029
431.72	38.12449906
432.15	35.63093623
432.58	34.3579057
433	37.93282999
433.43	33.87964149
433.85	35.50743543
434.28	37.34815198
434.7	35.81904052
435.13	35.84718432
435.56	32.51148175
435.98	30.77850084
436.41	31.10320285
436.83	33.89711064
437.26	30.18396548
437.68	28.8788222
438.11	28.47538495
438.53	28.97362004
438.96	32.00090847
439.38	30.5019305
439.81	29.87739299
440.23	30.16429354
440.66	28.3027027
441.08	30.40847201
441.51	27.61585238
441.93	29.79414951
442.35	29.86905009
442.78	32.56279173
443.2	31.27971883
443.63	30.1299237
444.05	31.13108927
444.47	31.42857143
444.9	31.29038983
445.32	31.4019055
445.75	31.09275975
446.17	31.80537291
446.59	31.55807365
447.02	35.33947715
447.44	32.10179076
447.86	35.12664441
448.29	35.17055309
448.71	36.28587721
449.13	36.60264777
449.56	35.76775607
449.98	36.79638009
450.4	35.63894173
450.83	37.43325354
451.25	42.45231608
451.67	39.38971229
452.1	42.33128834
452.52	44.13508173
452.94	42.13748469
453.36	43.61323155
453.79	43.31914894
454.21	42.9526835
454.63	43.92306417
455.05	47.41022671
455.48	48.98390506
455.9	50.48964521
456.32	50.78874614
456.74	48.71555348
457.16	49.1805887
457.59	50.30530766
458.01	54.54688236
458.43	53.73939861
458.85	54.50788306
459.27	56.70851611
459.69	58.77282688
460.12	58.78045135
460.54	57.65099735
460.96	58.92122072
461.38	63.52201258
461.8	66.072722
462.22	61.49588227
462.64	63.74124433
463.06	62.22559713
463.49	64.04862724
463.91	66.25890577
464.33	66.99106786
464.75	71.58268649
465.17	69.67859309
465.59	67.80673872
466.01	67.55538866
466.43	66.43270533
466.85	69.80703746
467.27	70.96259963
467.69	66.95714456
468.11	69.55271933
468.53	68.55986119
468.95	65.87956163
469.37	65.78976335
469.79	66.04050792
470.21	66.33160727
470.63	67.57496055
471.05	64.14044319
471.47	64.42520849
471.89	60.99226675
472.31	59.20861216
472.73	58.67830658
473.15	57.33283033
473.57	54.91898666
473.99	55.04138115
474.41	52.73427246
474.83	51.02833436
475.24	48.5828277
475.66	46.23673604
476.08	44.8308493
476.5	41.8747569
476.92	40.88350937
477.34	38.89923289
477.76	35.96095541
478.18	35.5993886
478.59	33.17187834
479.01	31.55239787
479.43	29.38224724
479.85	27.64678378
480.27	27.26113747
480.69	25.07223977
