wv	8L	6L	10L	12L
402.17	33.95240859	31.16656994	31.05049333	31.16656994
402.6	28.99943471	24.47710571	31.48671566	25.15545506
403.03	30.84216397	27.16118238	28.94590073	28.27663134
403.46	29.75609756	19.89159892	33.65853659	28.34688347
403.89	30.09284544	25.17749863	27.79901693	29.98361551
404.32	31.22696156	22.38020011	26.59294365	34.28120063
404.75	35.46291283	23.44342177	32.75582025	35.35462913
405.18	37.6285869	31.45641581	29.39902545	35.89604764
405.61	32.45485603	24.2557345	29.52659834	32.16203026
406.04	34.41253264	25.4308094	28.77284595	31.80156658
406.47	36.7929424	31.39595226	32.43383498	30.98079917
406.9	31.32724342	28.74798495	31.86458893	32.93927996
407.33	32.86783042	24.6882793	26.48379052	34.36408978
407.76	30.79584775	27.33564014	28.12654474	33.86060306
408.19	31.95579049	23.11388755	27.91926958	39.45218645
408.62	30.33601514	24.65688594	27.30714624	34.40605774
409.05	32.77545328	22.82659228	28.49837285	36.77359368
409.48	29.98630762	27.9780922	24.50935646	35.73710634
409.91	30.01449976	29.9178347	25.95456742	37.07104882
410.34	34.03508772	24.61152882	28.82205514	40.55137845
410.77	37.35605712	24.64302165	26.66973745	43.34408107
411.2	40.04819277	27.80722892	32.43373494	40.81927711
411.63	36.29693569	28.87354338	27.66508416	40.69917997
412.05	32.09616196	25.51665964	29.73428933	34.87979755
412.48	31.84310418	27.11935892	26.27583298	39.60354281
412.91	33.19553535	24.92765606	25.67176519	36.99875982
413.34	30.46484825	25.31694199	29.15866308	40.91432962
413.77	33.60622186	28.12116251	26.56569791	37.3720835
414.2	34.58382181	22.86049238	28.09691286	37.24110981
414.63	32.35180163	21.73576133	27.08252615	32.97171639
415.06	36.32358831	24.62955547	28.31397677	33.92070485
415.49	33.28250095	25.04765536	25.58139535	32.21502097
415.91	32.46017699	25.23893805	27.92920354	29.48672566
416.34	33.23364486	24.18691589	25.53271028	32.48598131
416.77	30.18372703	25.08436445	28.83389576	34.0832396
417.2	30.18002118	24.10871867	24.74408754	29.68584539
417.63	35.30039104	25.13330963	27.1951653	31.53217206
418.06	34.55184534	29.63093146	29.13884007	29.56063269
418.48	34.1504937	27.81750085	25.70650323	28.97514471
418.91	34.24474825	24.64154718	26.57552518	28.64288096
419.34	36.95142379	25.8961474	28.77721943	30.72026801
419.77	33.88539251	24.08082146	29.11560119	28.51937728
420.2	34.19438166	27.67194059	29.48014207	32.51533742
420.62	29.33871468	26.35827383	27.2896616	27.97267929
421.05	31.96644921	26.87169929	30.04038521	28.73563218
421.48	36.19438309	27.92679079	32.84947933	33.1019249
421.91	35.27733756	28.74801902	30.64976228	30.71315372
422.34	34.29689852	28.51550738	29.0575128	30.38241494
422.76	31.95521102	26.61498708	30.74935401	30.11771461
423.19	30.77148724	25.19800528	30.06746847	32.17952479
423.62	34.35745938	27.26735598	33.47119645	33.11669129
