wv	10L	12L
399.58	0	0
400.01	0	0
400.44	0	0
400.87	0	0
401.31	0	0
401.74	0	0
402.17	0	0
402.6	0	0
403.03	0	0
403.46	0	0
403.89	0	0
404.32	0	0
404.75	0	0
405.18	0	0
405.61	0	0
406.04	0	0
406.47	0	0
406.9	0	0
407.33	0	0
407.76	0	0
408.19	0	0
408.62	0	0
409.05	0	0
409.48	0	0
409.91	0	0
410.34	0	0
410.77	0	0
411.2	0	0
411.63	0	0
412.05	0	0
412.48	0	0
412.91	0	0
413.34	0	0
413.77	0	0
414.2	0	0
414.63	0	0
415.06	0	0
415.49	0	0
415.91	0	0
416.34	0	0
416.77	0	0
417.2	0	0
417.63	0	0
418.06	0.0037644766	0
418.48	-0.0037079853	0
418.91	0.0036351973	0
419.34	-0.0035728547	0
419.77	0	0
420.2	0	0
420.62	0	0
421.48	0	0
421.91	0	0
422.34	0	0
422.76	0	0
423.19	0	0
423.62	0	0
424.04	-0.002999453	0
424.47	0.0029471421	0
424.9	-0.0029073247	0
425.33	0.0057290175	0
425.75	-0.0056255067	0
426.18	0.0055487556	0
426.61	-0.0054647444	0
427.03	0.0053820461	0
427.46	-0.0053115871	0
427.89	0.0052479664	0
428.31	-0.0051787428	0
428.74	0.0051122438	0
429.17	-0.0050489301	0
429.59	0.0049759253	0
430.02	-0.0074070847	0
430.45	0.0122019494	0
430.87	0.103654127	0
431.3	0.0214613345	0
431.72	-0.0283250719	0
432.15	0.0373672569	0
432.58	-0.046236486	0
433	0.0549383963	0.0022890998
433.43	-0.0635166331	-0.0022684512
433.85	0.0695957635	0.0022450246
434.28	-0.0733285406	-0.002222077
434.7	0.0766979904	0
435.13	-0.0756275818	0
435.56	0.0747853848	0
435.98	1.4316635361	0
436.41	0.0627854584	0
436.83	-0.0519502744	0.002078011
437.26	0.0411258815	-0.0020562941
437.68	-0.0305605158	0
438.11	0.1598409921	0
438.53	-0.0080142371	0
438.96	0.6145800428	0.0019889322
439.38	0.011822112	-0.001970352
439.81	-0.0175908574	0.0019545397
440.23	0.0213365585	-0.0019396871
440.66	-0.023104366	0.0019253638
441.08	0.0229903193	-0.0019158599
441.51	-0.0209216724	0.0019019702
441.93	0.0188672963	0
442.35	-0.0149827588	0
442.78	0.009287283	0.0018574566
443.2	-0.0055364374	-0.0018454791
443.63	0.0018290387	0.0036580774
444.05	0.0018147077	-0.0036294153
444.47	-0.0036027254	0.0018013627
444.9	0.0053681385	-0.0017893795
445.32	0.0123980288	0
445.75	0.0052822919	0.001760764
446.17	-0.0034837136	-0.0034837136
446.59	0.0017286788	0.0051860363
447.02	-0.0017112773	-0.0068451093
447.44	0	0.0051025002
447.86	-0.0016846528	-0.0050539584
448.29	0.0033386687	0.0016693343
448.71	-0.0066116345	0.0016529086
449.13	0.009846035	-0.0065640234
449.56	-0.0146713334	0.0114110371
449.98	0.0371499967	-0.0177673897
450.4	-0.0271716137	0.022376623
450.83	0.0349072717	-0.0269738009
451.25	-0.0392562556	0.0298347543
451.67	0.0450742857	-0.0155428571
452.1	0.1213155922	0.0307128081
452.52	0.0500709562	-0.0273114306
452.94	0.2960913118	0.0210420222
453.36	0.0625958883	0.2995660369
453.79	0.2081072399	0.0044278136
454.21	0.3447264192	0.3447264192
454.63	0.4508668548	0.1116294142
455.05	0.0186584491	0.7032800034
455.48	-0.0071054193	0.0028421677
455.9	0.1227987147	0.0494017818
456.32	0.9526939859	1.0476840021
456.74	1.2575785936	0.159099602
457.16	0.3276322262	0.8540371419
457.59	0.5076450158	0.623018883
458.01	1.2270579576	0.5933471045
458.43	1.1236148635	0.3434746858
458.85	0.4189690849	0.7417597322
459.27	0.99378548	0.7508891603
459.69	0.749287684	0.1908930495
460.12	0.7271930289	1.8912157924
460.54	0.9541043798	1.2610992469
460.96	0.4009047425	0.0617746301
461.38	0.1654361999	0.4117246779
461.8	1.2964072937	0.9919480051
462.22	1.8636594273	1.083692444
462.64	0.1392901289	0.4887162281
463.06	0.1350569706	0.775985226
463.49	1.5430330556	0.0962195518
463.91	0.7139696823	0.557752653
464.33	0.9716441295	1.5009044023
464.75	1.3141163757	1.1428078945
465.17	0.4860161591	1.0876974911
