wv	10L	12L
350	0	0
350.44	0	0
350.88	0	0
351.32	0	0
351.75	0	0
352.19	0	0
352.63	0	0
353.07	0	0
353.51	0	0
353.95	0	0
354.38	0	0
354.82	0	0
355.26	0	0
355.7	0	0
356.13	0	0
356.57	0	0
357.01	0	0
357.45	0	0
357.89	0.1353179973	0
358.32	0.1191895113	0
358.76	0.1129943503	0
359.2	0.09861932939	0
359.64	0.0849617672	0
360.07	0.07674597084	0
360.51	0.06671114076	0
360.95	0.0600240096	0
361.38	0.05254860746	0
361.82	0.04750593824	0
362.26	0.04415011038	0
362.69	0.04196391104	0.5455171083
363.13	0.04120313144	1.648179586
363.57	2.173069461	1.590978762
364	2.313990744	1.495151437
364.44	2.190765083	1.584086336
364.88	3.070891865	2.090806333
365.31	3.592085236	1.948202175
365.75	3.407450188	1.84807122
366.19	3.214383002	1.743403669
366.62	3.117569353	1.690862736
367.06	3.000254259	1.627277235
367.5	2.895705521	1.644143536
367.93	2.774512109	1.575336346
368.37	2.647520754	1.503233073
368.8	2.553559836	2.034218146
369.24	2.437512911	1.941779662
369.67	2.367101304	1.88562671
370.11	2.254920696	1.547887039
370.55	2.111290034	0.9661974049
370.98	1.6318205	0.9008978382
371.42	1.414404162	0.8453992398
371.85	1.375929148	0.7433203964
372.29	0.8829349977	0.4566926017
372.72	0.9619588981	0.4372521327
373.16	3.185070857	0.6313946244
373.59	4.696990147	1.295731913
374.03	5.034295328	2.290666118
374.46	6.980002547	3.591926572
374.9	8.129981606	5.199219627
375.33	10.22248948	6.843021801
375.77	12.12156634	8.977122365
376.2	15.45152798	11.19379923
376.64	17.11307856	13.54931547
377.07	18.64867805	16.38550546
377.51	20.37844159	18.48633191
377.94	22.34836539	21.84372382
378.38	24.26975505	24.73101308
378.81	27.18103883	27.17073387
379.24	29.86442992	29.89357303
379.68	33.52980321	33.2163378
380.11	37.01024147	36.69071373
380.55	38.37689133	40.2109493
380.98	40.59529098	43.29623581
381.42	43.29074852	45.58853539
381.85	43.89309867	46.64718756
382.28	45.75445762	48.80228985
382.72	46.23460986	50.37419971
383.15	47.2834388	51.69133285
383.58	47.14235747	52.1792296
384.02	47.67402606	52.88608258
384.45	48.62301302	52.48222682
384.88	49.08561666	52.69242671
385.32	49.25172561	52.04935557
385.75	49.43252719	51.89262807
386.18	48.76824554	51.56051769
386.62	48.05063291	50.6947105
387.05	46.55313575	49.3148053
387.48	45.11178376	47.75618167
387.92	43.90281888	46.14536439
388.35	42.2541673	44.00779325
388.78	40.30106228	42.11354093
389.22	38.43244588	39.54711167
389.65	36.02248632	36.3874676
390.08	33.58299694	33.24256274
390.51	30.67564318	29.80512698
390.95	27.66960539	26.51445684
391.38	25.08942259	23.31962802
391.81	22.36969001	21.30887956
392.24	20.03999818	19.42633673
392.67	17.4485818	17.38591168
393.11	15.1325984	15.95604561
393.54	13.12977099	15.01417011
393.97	11.19514592	14.63057166
394.4	9.880806975	14.62322659
394.83	8.842105263	15.15789474
395.27	8.337718056	15.23457974
395.7	8.158721323	16.6832399
396.13	8.660404568	18.26396457
396.56	9.507055719	20.43668109
396.99	10.84593838	22.48366013
397.42	12.53261788	25.15343263
397.86	14.86843534	28.09720772
398.29	16.93182224	31.1930771
398.72	19.06994646	33.79749635
399.15	21.29594803	36.06437082
399.58	23.22749021	38.16037865
400.01	25.60265728	40.68464386
400.44	27.94710531	42.26745802
400.87	30.21133678	43.97514528
401.31	32.9223414	45.48476932
401.74	35.12710159	46.34804412
402.17	37.42158573	46.90178044
402.6	39.39852812	47.57573913
403.03	41.40496609	47.48849988
403.46	42.76108178	47.14364375
403.89	44.07624377	46.40795222
404.32	45.37783557	46.1349116
404.75	45.98162214	45.17358931
405.18	46.43466585	43.77719815
405.61	47.23408947	41.97506909
406.04	47.60746591	40.30004637
406.47	47.99989152	38.48615518
406.9	48.39803083	36.36774491
